Feature Category,Feature,Description,Trial,Brochure,Niche,Pro
Content Editing,WYSIWYG Text Editor,Rich text editing with formatting toolbar (bold/italic/underline/colors/fonts/sizes),X,X,X,X
Content Editing,Inline Text Editing,Click text to edit directly on canvas,X,X,X,X
Content Editing,Image Upload,Upload images to gallery,X,X,X,X
Content Editing,Image Management,Delete/rename images in gallery,X,X,X,X
Content Editing,Image Search/Filter,Search images by filename,X,X,X,X
Content Editing,Image Resize,Control image width/height/proportions,X,X,X,X
Content Editing,Image Alignment,Left/center/right alignment,X,X,X,X
Content Editing,Image Alt Text,Accessibility alt text editor,X,X,X,X
Content Editing,Image Links,Make images clickable with URLs,X,X,X,X
Content Editing,Copy/Paste Images,Paste images directly from clipboard,X,X,X,X
Content Editing,Headings (H1-H4),Insert heading tags in WYSIWYG,X,X,X,X
Content Editing,Lists,Ordered and unordered lists,X,X,X,X
Content Editing,Hyperlinks,Insert/edit links in text,X,X,X,X
Content Editing,Clear Formatting,Remove all formatting from text,X,X,X,X
Section Management,Add Sections,Add new sections from library,X,X,X,X
Section Management,Delete Sections,Remove sections from page,X,X,X,X
Section Management,Reorder Sections,Drag-and-drop reordering,X,X,X,X
Section Management,Duplicate Sections,Copy existing sections,X,X,X,X
Section Management,Lock/Unlock Sections,Prevent accidental editing,X,X,X,X
Section Management,Section Name/ID,Custom section identifiers for CSS,X,X,X,X
Grid Sections,Add Columns,Add columns to grid sections,X,X,X,X
Grid Sections,Delete Columns,Remove columns from grid,X,X,X,X
Grid Sections,Column Styling,Background/padding/borders per column,X,X,X,X
Grid Sections,Remove All Borders,Quick button to strip column borders,X,X,X,X
Grid Sections,1-Column Layout,Single column grid,X,X,X,X
Grid Sections,2-Column Layout,Two column grid,X,X,X,X
Grid Sections,3-Column Layout,Three column grid,X,X,X,X
Grid Sections,4-Column Layout,Four column grid,X,X,X,X
Grid Sections,2x2 Grid Layout,Two rows two columns,X,X,X,X
Grid Sections,3x2 Grid Layout,Three columns two rows,X,X,X,X
Navigation,Navbar Section,Add navigation bar,X,X,X,X
Navigation,Navigation Links,Add/edit/delete navigation links,X,X,X,X
Navigation,Dropdown Menus,Add sub-items to navigation,X,X,X,X
Navigation,Navigation Tree Manager,Hierarchical link management,X,X,X,X
Navigation,Link to Pages,Internal page linking,X,X,X,X
Navigation,External URLs,Link to external websites,X,X,X,X
Navigation,Mobile Menu,Responsive hamburger menu,X,X,X,X
Navigation,Navbar Background,Control navbar background color,X,X,X,X
Navigation,Navbar Padding/Margin,Control navbar spacing,X,X,X,X
Navigation,Navbar Width/Height,Control navbar dimensions,X,X,X,X
Navigation,Logo Position,Left/center/right logo placement,X,X,X,X
Navigation,Links Position,Left/center/right links placement,X,X,X,X
Navigation,Link Colors,Text color and hover color,X,X,X,X
Navigation,Dropdown Trigger,Hover or click dropdown behavior,X,X,X,X
Navigation,Hover Delay,Delay before dropdown opens,X,X,X,X
